Term	TermType	English	Turkish	Dutch	German	French	Italian	Portuguese	Spanish	Russian	Japanese	Korean
DeleteAccountTitleText	0	Delete Account	Hesabı Sil	Account Verwijderen	Konto löschen	Supprimer le compte	Elimina Account	Excluir Conta	Eliminar Cuenta	Удаление учетной записи	アカウント削除	계정 삭제
DeleteConfirmationDescriptionText	0	To delete your account, type 'Delete My Account' in the box below	Hesabınızı silmek için aşağıdaki kutuya 'Delete My Account' yazın.	Om uw account te verwijderen, typt u 'Delete My Account' in het onderstaande vak.	Um Ihr Konto zu löschen, geben Sie 'Delete My Account' in das unten stehende Feld ein.	Pour supprimer votre compte, tapez 'Delete My Account' dans la case ci-dessous.	Per eliminare il tuo account, digita 'Delete My Account' nel campo sottostante.	Para excluir sua conta, digite 'Delete My Account' na caixa abaixo.	Para eliminar tu cuenta, escribe 'Delete My Account' en el cuadro de abajo.	Чтобы удалить свою учетную запись, введите 'Delete My Account' в поле ниже.	アカウントを削除するには、下のボックスに「Delete My Account」と入力してください。	계정을 삭제하려면 아래 상자에 'Delete My Account'를 입력하세요.
DeleteCompletedDescription	0	Your account successfuly deleted. You can delete and re-install the game to create a new account.	Hesabınız başarıyla silindi. Yeni bir hesap oluşturmak için oyunu silip yeniden yükleyebilirsiniz.	Je account is succesvol verwijderd. Je kunt het spel verwijderen en opnieuw installeren om een nieuw account aan te maken.	Dein Konto wurde erfolgreich gelöscht. Du kannst das Spiel löschen und neu installieren, um ein neues Konto zu erstellen.	Votre compte a été supprimé avec succès. Vous pouvez supprimer et réinstaller le jeu pour créer un nouveau compte.	Il tuo account è stato eliminato con successo. Puoi eliminare e reinstallare il gioco per creare un nuovo account.	Sua conta foi excluída com sucesso. Você pode excluir e reinstalar o jogo para criar uma nova conta.	Tu cuenta se ha eliminado con éxito. Puedes borrar y reinstalar el juego para crear una nueva cuenta.	Ваш аккаунт успешно удален. Вы можете удалить и заново установить игру, чтобы создать новый аккаунт.	あなたのアカウントは正常に削除されました。新しいアカウントを作成するには、ゲームを削除して再インストールすることができます。	계정이 성공적으로 삭제되었습니다. 새 계정을 만들기 위해 게임을 삭제하고 다시 설치할 수 있습니다.
DeleteCompeletedTitleText	0	Account Deleted	Hesap Silindi	Account Verwijderd	Konto gelöscht	Compte Supprimé	Account eliminato	Conta Excluída	Cuenta Eliminada	Аккаунт удалён	アカウントが削除されました	계정 삭제됨
DeleteConfirmationFailedText	0	Wrong Text	Yanlış Metin	Onjuiste Tekst	Falscher Text	Texte incorrect	Testo errato	Texto Incorreto	Texto incorrecto	Неверный текст	間違ったテキスト	잘못된 텍스트
RestorePurchaseText	0	<u>Restore Purchase</u>	<u>Satın Alımı Geri Yükle</u>	<u>Aankoop Herstellen</u>	<u>Kauf Wiederherstellen</u>	<u>Restaurer l'achat</u>	<u>Ripristina Acquisto</u>	<u>Restaurar Compra</u>	<u>Restaurar compra</u>	<u>Восстановить покупку</u>	<u>購入の復元</u>	<u>구매 복원</u>
RestorePurchaseTextWithoutOutline	0	Restore Purchase	Satın Alım Geri Yükle	Aankoop Herstellen	Kauf wiederherstellen	Restaurer l'achat	Ripristina acquisto	Restaurar Compra	Restaurar compra	Восстановить покупку	購入を復元	구매 복원
WorldCupSpecialOfferHeader	0	Match Night	Maç Gecesi	Wedstrijdnacht	Spielabend	Soirée de Match	Notte di Partita	Noite de Partida	Noche de Partido	Матч Ночь	試合の夜	매치 나이트
WorldCupSpecialOfferHeader2	0	DEAL!	TEKLİFİ!	AANBIEDING!	ANGEBOT!	OFFRE !	OFFERTA!	OFERTA!	OFERTA!	СДЕЛКА!	セール！	제안!
SuperChargerJoinProgressText	0	Beat {0} levels to activate <color=#FFC20F>Super Charger !</color>	{0} seviyeyi geçerek <color=#FFC20F>Super Charger'ı</color> etkinleştir!	Voltooi {0} niveaus om de <color=#FFC20F>Super Charger</color> te activeren!	Schließe {0} Level ab, um den <color=#FFC20F>Super Charger !</color> zu aktivieren.	Terminez {0} niveaux pour activer le <color=#FFC20F>Super Charger !</color>	Completa {0} livelli per attivare <color=#FFC20F>Super Charger!</color>	Complete {0} níveis para ativar o <color=#FFC20F>Super Charger!</color>	Supera {0} niveles para activar el <color=#FFC20F>Super Charger ¡</color>!	Пройдите {0} уровней, чтобы активировать <color=#FFC20F>Super Charger!</color>	{0} レベルをクリアして、<color=#FFC20F>Super Charger</color>を起動しよう！	{0} 레벨을 완료하여 <color=#FFC20F>Super Charger!</color>를 활성화하세요.
SuperChargerTitleText1	0	SUPER	SUPER	SUPER	SUPER	SUPER	SUPER	SUPER	SUPER	SUPER	SUPER	SUPER
SuperChargerTitleText2	0	CHARGER	CHARGER	CHARGER	CHARGER	CHARGER	CHARGER	CHARGER	CHARGER	CHARGER	CHARGER	CHARGER
SuperChargerTitleText	0	Super Charger	Super Charger	Super Charger	Super Charger	Super Charger	Super Charger	Super Charger	Super Charger	Super Charger	Super Charger	Super Charger
SuperChargerIsActiveText	0	Super Charger is now <color=#05E800>Active!</color>	Super Charger şimdi <color=#05E800>Aktif!</color>	Super Charger is nu <color=#05E800>actief!</color>	Super Charger ist jetzt <color=#05E800>aktiv!</color>	Super Charger est maintenant <color=#05E800>Actif!</color>	Il <color=#FFC20F>Super Charger</color> è ora <color=#05E800>Attivo!</color>	Super Charger está agora <color=#05E800>Ativo!</color>	Super Charger ahora está <color=#05E800>¡Activo!</color>	Super Charger теперь <color=#05E800>Активна!</color>	スーパー チャージャーが現在<color=#05E800>アクティブです！</color>	슈퍼 충전기가 이제 <color=#05E800>활성화되었습니다!</color>
SuperChargerLoseAreYouSureText	0	You will lose your <color=#AD1433>Super Charger</color> !	<color=#AD1433>Super Charger</color>'ınızı kaybedeceksiniz!	Je zult je <color=#AD1433>Super Charger</color> verliezen!	Du wirst deinen <color=#AD1433>Super Charger</color> verlieren!	Vous allez perdre votre <color=#FFC20F>Super Charger</color> !	Perderai il tuo <color=#AD1433>>Super Charger</color>!	Você perderá seu <color=#AD1433>Super Charger</color>!	Perderás tu <color=#AD1433>Super Charger</color> !	Вы потеряете свой <color=#FFC20F>Супер Зарядник</color>!	<color=#AD1433>スーパー・チャージャー</color> を失いますよ！	<color=#AD1433>슈퍼 충전기</color>를 잃게 됩니다!
SuperChargerInfoText1	0	Beat <color=#FFC20F>{0} Levels!</color>	<color=#FFC20F>{0} Seviyeyi Geç!</color>	Voltooi <color=#FFC20F>{0} Levels!</color>	Meistere <color=#FFC20F>{0} Level!</color>	Bats <color=#FFC20F>{0} niveaux !</color>	Completa <color=#FFC20F>{0} livelli!</color>	Complete <color=#FFC20F>{0} Níveis!</color>	¡Supera <color=#FFC20F>{0} niveles!</color>	Пройдите <color=#FFC20F>{0} уровней!</color>	<color=#FFC20F>{0} レベルをクリアしよう！</color>	<color=#FFC20F>{0} 레벨을</color> 완료하세요!
SuperChargerInfoText2	0	<color=#FFC20F>Activate</color> the Super Charger!\n	Super Charger'ı <color=#FFC20F>Etkinleştir</color>	<color=#FFC20F>Activeer</color> de Super Charger!	<color=#FFC20F>Aktiviere</color> den Super Charger!	<color=#FFC20F>Activez</color> le Super Charger !	<color=#FFC20F>Attiva</color> il Super Charger!	<color=#FFC20F>Ative</color> o Super Charger!	<color=#FFC20F>¡Activa</color> el Super Charger!	<color=#FFC20F>Активируйте</color> Super Charger!	Super Chargerを<color=#FFC20F>起動</color>しよう！	Super Charger를 <color=#FFC20F>활성화</color>하세요!
SuperChargerInfoText3WithMove	0	Make <color=#FFC20F>moves</color>  to fill the Super Charger!\n	Super Charger'ı doldurmak için <color=#FFC20F>hamleler</color> yap!	Maak <color=#FFC20F>zetten</color> om de Super Charger te vullen!	Mache <color=#FFC20F>Züge</color>, um den Super Charger zu füllen!	Faites des <color=#FFC20F>mouvements</color> pour remplir le Super Charger !	Fai <color=#FFC20F>mosse</color> per riempire il Super Charger!	Faça <color=#FFC20F>movimentos</color> para encher o Super Charger!	¡Haz <color=#FFC20F>movimientos</color> para llenar el Super Charger!	Делайте <color=#FFC20F>ходы</color>, чтобы заполнить Super Charger!	<color=#FFC20F>移動</color>してSuper Chargerを満たそう！	<color=#FFC20F>이동</color>하여 Super Charger를 채우세요!
SuperChargerInfoText3WithMatch	0	<color=#FFC20F>Complete bottles</color> to fill the Super Charger!\n	<color=#FFC20F>Şişeleri tamamlayarak</color> Super Charger'ı doldurun!	<color=#FFC20F>Voltooi flessen</color> om de Super Charger te vullen!	<color=#FFC20F>Vervollständige Flaschen</color>, um den Super Charger zu füllen!	<color=#FFC20F>Complétez les bouteilles</color> pour remplir le Super Charger !	<color=#FFC20F>Completa le bottiglie</color> per riempire il Super Charger!	<color=#FFC20F>Complete as garrafas</color> para encher o Super Charger!	¡<color=#FFC20F>Completa las botellas</color> para llenar el Super Charger!	<color=#FFC20F>Собирайте бутылки</color>, чтобы заполнить Super Charger!	<color=#FFC20F>ボトルを完成させて</color>Super Chargerを満たそう！	Super Charger를 채우려면 <color=#FFC20F>병을 완성하세요</color>!
SuperChargerInfoText4ChargeableBottle	0	<color=#3AC700>Super Charger</color> magically creates a mini bottle!	<color=#3AC700>Super Charger</color> sihirli bir şekilde mini bir şişe oluşturur!	<color=#3AC700>Super Charger</color> creëert op magische wijze een mini-fles!	<color=#3AC700>Super Charger</color> erstellt auf magische Weise eine Mini-Flasche!	<color=#3AC700>Super Charger</color> crée magiquement une mini bouteille !	<color=#3AC700>Super Charger</color> crea magicamente una mini bottiglia!	<color=#3AC700>Super Charger</color> cria magicamente uma mini garrafa!	¡<color=#3AC700>Super Charger</color> crea mágicamente una mini botella!	<color=#3AC700>Super Charger</color> волшебным образом создаёт мини-бутылку!	<color=#3AC700>Super Charger</color>が魔法でミニボトルを作成します！	<color=#3AC700>Super Charger</color> 가 마법처럼 미니 병을 만듭니다!
SuperChargerInfoText4MagicWand	0	<color=#3AC700>Super Charger</color> magically fills a bottle!\n	<color=#3AC700>Super Charger</color> sihirli bir şekilde şişeyi doldurur!	<color=#3AC700>Super Charger</color> vult op magische wijze een fles!	<color=#3AC700>Super Charger</color> füllt auf magische Weise eine Flasche!	<color=#3AC700>Super Charger</color> remplit magiquement une bouteille !	<color=#3AC700>Super Charger</color> riempie magicamente una bottiglia!	<color=#3AC700>Super Charger</color> enche magicamente uma garrafa!	¡<color=#3AC700>Super Charger</color> llena mágicamente una botella!	<color=#3AC700>Super Charger</color> волшебным образом наполняет бутылку!	<color=#3AC700>Super Charger</color>が魔法でボトルを満たします！	<color=#3AC700>Super Charger</color> 가 마법처럼 병을 채웁니다!
SuperChargerInfoTextFailInfo	0	Super Charger will be active until you <color=#EC1600>fail</color>!\n	Super Charger, <color=#EC1600>başarısız olana</color> kadar aktif kalacak!	Super Charger blijft actief totdat je <color=#EC1600>faalt</color>!	Der Super Charger bleibt aktiv, bis du <color=#EC1600>scheiterst</color>!	Le Super Charger sera actif jusqu'à ce que vous <color=#EC1600>échouiez</color> !	Il Super Charger resterà attivo fino a quando <color=#EC1600>fallisci</color>!	Super Charger ficará ativo até você <color=#EC1600>falhar</color>!	¡El Super Charger estará activo hasta que <color=#EC1600>falles</color>!	Super Charger будет активен, пока вы не <color=#EC1600>проиграете</color>!	Super Chargerは<color=#EC1600>失敗する</color>までアクティブです！	Super Charger는 <color=#EC1600>실패</color>할 때까지 활성화됩니다!
SuperChargerTutorialDescription	0	Tap to use <color=#8A1DD1>SUPERCHARGER</color>!	<color=#8A1DD1>SUPERCHARGER</color>'ı kullanmak için dokunun!	Tik om de <color=#8A1DD1>SUPERCHARGER</color> te gebruiken!	Tippe, um den <color=#8A1DD1>SUPERCHARGER</color> zu verwenden!	Touchez pour utiliser le <color=#8A1DD1>SUPERCHARGEUR</color> !	Tocca per usare il <color=#8A1DD1>SUPERCHARGER</color>!	Toque para usar o <color=#8A1DD1>SOBRECARGADOR</color>!	¡Toca para usar el <color=#8A1DD1>SUPERCHARGER</color>!	Нажмите, чтобы использовать <color=#8A1DD1>СУПЕРЗАРЯДНОЕ УСТРОЙСТВО</color>!	タップして<color=#8A1DD1>スーパー充電器</color>を使おう！	탭하여 <color=#8A1DD1>슈퍼차저</color>를 사용하세요!
SuperChargerBottleTutorialDescription1	0	Sort colors to charge the Supercharger!	Renkleri sıralayarak Süper Şarj Aleti'ni doldurun!	Sorteer de kleuren om de Supercharger op te laden!	Farben sortieren, um den Supercharger aufzuladen!	Triez les couleurs pour recharger le Supercharger !	Ordina i colori per caricare il Supercharger!	Classifique as cores para carregar o Supercharger!	¡Ordena los colores para cargar el Supercharger!	Сортируйте цвета, чтобы зарядить Суперзарядное устройство!	色を揃えてスーパー充電器をチャージしましょう！	색상을 정렬하여 슈퍼차저를 충전하세요!
SuperChargerBottleTutorialDescription2	0	Each bottle can be used once. Sort colors to recharge.	Her şişe bir kez kullanılabilir. Yeniden şarj etmek için renkleri sıralayın.	Elke fles kan één keer worden gebruikt. Sorteer de kleuren om op te laden.	Jede Flasche kann einmal verwendet werden. Sortiere die Farben, um sie aufzuladen.	Chaque bouteille peut être utilisée une seule fois. Triez les couleurs pour recharger.	Ogni bottiglia può essere utilizzata una volta. Ordina i colori per ricaricare.	Cada garrafa pode ser usada uma vez. Organize as cores para recarregar.	Cada botella se puede usar una vez. Ordena los colores para recargar.	Каждая бутылка может быть использована один раз. Сортируйте цвета, чтобы перезарядить.	各ボトルは一度だけ使用できます。色を揃えてチャージしてください。	각 병은 한 번 사용할 수 있습니다. 충전하려면 색상을 정렬하세요.
StuckAreYouSurePlayOn1	0	+1 Play On	+1 Devam Et	+1 Verder Spelen	+1 Weiterspielen	+1 Continuer à jouer	+1 Continua a giocare	+1 Continuar Jogando	+1 Continuar Jugando	+1 Продолжить Играть	+1 プレイ続行	+1 계속 플레이
StuckAreYouSurePlayOn2	0	for this level!	bu seviye için!	voor dit level!	für dieses Level!	pour ce niveau !	per questo livello!	para este nível!	para este nivel!	для этого уровня!	このレベルで！	이 레벨에서!
TreasureDrillAreYouSureTitle	0	Treasure Drill	Hazine Matkabı	Schatboor	Schatzbohrer	Trésor Foreuse	Trivella del Tesoro	Broca do Tesouro	Taladro del Tesoro	Сокровищное Бурение	トレジャードリル	보물 드릴
collection_5_theme_1	0	Snacks	Atıştırmalıklar	Snacks	Snacks	En-cas	Spuntini	Lanches	Bocadillos	Закуски	軽食	간식
collection_5_card_1_theme_1	0	Hot Dog	Sosisli Sandviç	Hotdog	Hotdog	Hot Dog	Hot Dog	Cachorro-Quente	Perro Caliente	Хот-дог	ホットドッグ	핫도그
collection_5_card_2_theme_1	0	Cheeseburger	Cheeseburger	Cheeseburger	Cheeseburger	Cheeseburger	Cheeseburger	Cheeseburger	Cheeseburguesa	Чизбургер	チーズバーガー	치즈버거
collection_5_card_3_theme_1	0	Ice Sandwich	Buzlu Sandviç	Ijssandwich	Eis-Sandwich	Sandwich Glacé	Panino di Ghiaccio	Sanduíche de Gelo	Sándwich de Hielo	Ледяной сэндвич	アイスサンドイッチ	아이스 샌드위치
collection_5_card_4_theme_1	0	Wafer Rolls	Gofret Ruloları	Wafelrolletjes	Waffelröllchen	Rouleaux de Gaufrette	Cialde Arrotolate	Rolinhos de Wafer	Barquillos	Вафельные Рулетики	ウエハースロール	웨이퍼 롤즈
collection_5_card_5_theme_1	0	Gelato	Gelato	Gelato	Eis	Gelato	Gelato	Sorvete	Gelato	Джелато	ジェラート	젤라토
collection_5_card_6_theme_1	0	Iced Tea	Buzlu Çay	IJsthee	Eistee	Thé Glacé	Tè Freddo	Chá Gelado	Té Helado	Холодный чай	アイスティー	아이스티
collection_5_card_7_theme_1	0	Fruit Slush	Meyve Slush	Vruchten Slush	Fruchtpüree	Salade de Fruits	Frullato di Frutta	Salada de Frutas	Granizado de Frutas	Фруктовый Смузи	フルーツスラッシュ	과일 슬러시
collection_5_card_8_theme_1	0	Cotton Candy	Pamuk Şekeri	Suikerspin	Zuckerwatte	Barbe à papa	Zucchero Filato	Algodão Doce	Algodón de Azúcar	Сладкая вата	わたあめ	솜사탕
collection_5_card_9_theme_1	0	Popsicle	Dondurma	Raketje	Eis am Stiel	Esquimau	Ghiacciolo	Picolé	Paleta	Эскимо	アイスキャンディー	아이스캔디
collection_5_theme_2	0	Cinema	Sinema	Bioscoop	Kino	Cinéma	Cinema	Cinema	Cine	Кинотеатр	映画館	영화관
collection_5_card_1_theme_2	0	Popcorn	Patlamış Mısır	Popcorn	Popcorn	Pop-corn	Popcorn	Pipoca	Palomitas de maíz	Попкорн	ポップコーン	팝콘
collection_5_card_2_theme_2	0	Tickets	Biletler	Tickets	Tickets	Billets	Biglietti	Ingressos	Boletos	Билеты	チケット	티켓
collection_5_card_3_theme_2	0	Movie Glasses	Film Gözlükleri	Filmbril	Filmbrillen	Lunettes de cinéma	Occhiali da Cinema	Óculos de Cinema	Gafas de Película	Кинозал Очки	映画用メガネ	영화 안경
collection_5_card_4_theme_2	0	Film Reel	Film Makarası	Filmrol	Filmrolle	Bobine de Film	Rullo di Pellicola	Bobina de Filme	Carrete de Película	Бобина с пленкой	フィルムリール	필름 릴
collection_5_card_5_theme_2	0	Projector	Projektör	Projector	Projektor	Projecteur	Proiettore	Projetor	Proyector	Проектор	プロジェクター	빔프로젝터
collection_5_card_6_theme_2	0	Clapperboard	Klapeyt	Klapbord	Klappe	Clap de fin	Ciak	Claquete	Claqueta	Хлопушка	クラッパーボード	클래퍼보드
collection_5_card_7_theme_2	0	Soda Cup	Soda Bardağı	Sodabeker	Soda-Becher	Gobelet de Soda	Bicchiere di Soda	Copo de Refrigerante	Vaso de Refresco	Стакан газировки	ソーダカップ	소다 컵
collection_5_card_8_theme_2	0	Megaphone	Megafon	Megafoon	Megafon	Mégaphone	Megafono	Megafone	Megáfono	Мегафон	メガホン	메가폰
collection_5_card_9_theme_2	0	Screen	Ekran	Scherm	Bildschirm	Écran	Schermo	Tela	Pantalla	Экран	画面	화면
collection_5_theme_3	0	Souvenir	Hatıra	Souvenir	Andenken	Souvenir	Souvenir	Lembrança	Recuerdo	Сувенир	おみやげ	기념품
collection_5_card_1_theme_3	0	Magnet	Mıknatıs	Magneet	Magnet	Aimant	Magnete	Ímã	Imán	Магнит	マグネット	자석
collection_5_card_2_theme_3	0	Bracelet	Bilezik	Armband	Armband	Bracelet	Braccialetto	Pulseira	Pulsera	Браслет	ブレスレット	팔찌
collection_5_card_3_theme_3	0	Token	Jeton	Token	Token	Jeton	Gettone	Ficha	Ficha	Токен	トークン	토큰
collection_5_card_4_theme_3	0	Colorful Hat	Renkli Şapka	Kleurrijke Hoed	Bunter Hut	Chapeau coloré	Cappello Colorato	Chapéu Colorido	Sombrero Colorido	Цветная Шляпа	カラフルハット	컬러풀 모자
collection_5_card_5_theme_3	0	Cat Cookie	Kedi Kurabiyesi	Kattensnoepje	Katzenkeks	Biscuit Chat	Biscotto al Gatto	Biscoito de Gato	Galleta de Gato	Печенье с котом	猫クッキー	고양이 쿠키
collection_5_card_6_theme_3	0	Plush Toy	Peluş Oyuncak	Pluchen Speelgoed	Plüschspielzeug	Peluche	Giocattolo di peluche	Brinquedo de Pelúcia	Peluche	Плюшевая игрушка	ぬいぐるみ	봉제 인형
collection_5_card_7_theme_3	0	Keychain	Anahtarlık	Sleutelhanger	Schlüsselanhänger	Porte-clés	Portachiavi	Chaveiro	Llavero	Брелок	キーホルダー	열쇠고리
collection_5_card_8_theme_3	0	Mug	Kupa	Mok	Becher	Tasse	Tazza	Caneca	Taza	Кружка	マグカップ	머그
collection_5_card_9_theme_3	0	Sunglasses	Güneş Gözlükleri	Zonnebril	Sonnenbrille	Lunettes de soleil	Occhiali da sole	Óculos de Sol	Gafas de sol	Солнечные очки	サングラス	선글라스
collection_5_theme_4	0	Wonderland	Lunapark	Wonderland	Wunderland	Pays des Merveilles	La Terra delle Meraviglie	Maravilha	El País de las Maravillas	Страна Чудес	不思議の国	원더랜드
collection_5_card_1_theme_4	0	Cat Entrance	Kedi Girişi	Ingang van de Kat	Katzeneingang	Entrée du Chat	Entrata del Gatto	Entrada do Gato	Entrada del Gato	Вход кота	猫の入口	고양이 입장
collection_5_card_2_theme_4	0	Signpost	Yol Levhası	Wegwijzer	Wegweiser	Panneau de signalisation	Cartello stradale	Placa de Sinalização	Señalización	Указатель	標識	표지판
collection_5_card_3_theme_4	0	Ticket Roll	Bilet Rulosu	Ticketrol	Ticketrolle	Rouleau de Tickets	Rotolo di Ticket	Rolo de Ingressos	Rollo de boletos	Билетный рулон	チケットロール	티켓 롤
collection_5_card_4_theme_4	0	Balloons	Balonlar	Ballonnen	Ballons	Ballons	Palloncini	Balões	Globos	Воздушные шары	バルーン	풍선들
collection_5_card_5_theme_4	0	Map	Harita	Kaart	Karte	Carte	Mappa	Mapa	Mapa	Карта	マップ	지도
collection_5_card_6_theme_4	0	Festive Bulbs	Şenlik Ampulleri	Feestelijke Lampjes	Feierliche Glühbirnen	Ampoules Festives	Lampadine Festive	Lâmpadas Festivas	Bombillas Festivas	Праздничные Лампочки	お祭り電球	축제 전구
collection_5_card_7_theme_4	0	Trash Bin	Çöp Kutusu	Afvalbak	Mülleimer	Poubelle	Cestino	Lixeira	Papelera	Мусорное ведро	ゴミ箱	휴지통
collection_5_card_8_theme_4	0	Light Pole	Işık Direği	Lichtmast	Lichtmast	Poteau Lumineux	Palo della Luce	Poste de Luz	Poste de Luz	Фонарь	街灯	전봇대
collection_5_card_9_theme_4	0	Ground Arrow	Zemin Oku	Grondpijl	Bodenpfeil	Flèche au Sol	Freccia a Terra	Seta no Chão	Flecha en el Suelo	Стрелка на земле	地面の矢印	바닥 화살표
collection_5_theme_5	0	Garden	Bahçe	Tuin	Garten	Jardin	Giardino	Jardim	Jardín	Сад	庭園	정원
collection_5_card_1_theme_5	0	Check	Şah	Schaak	Schach	Échec	Scacco	Xeque	Jaque	Шах	王手	체크
collection_5_card_2_theme_5	0	Bucket	Kova	Emmer	Eimer	Seau	Secchio	Balde	Cubo	Ведро	バケツ	양동이
collection_5_card_3_theme_5	0	Mushroom Seat	Mantar Koltuk	Paddenstoelstoel	Pilzsitz	Siège Champignon	Sedia a Fungo	Assento de Cogumelo	Asiento de Setas	Грибной стул	キノコのシート	버섯 의자
collection_5_card_4_theme_5	0	Basket	Sepet	Mandje	Korb	Panier	Cestino	Cesta	Cesta	Корзина	バスケット	바구니
collection_5_card_5_theme_5	0	Hopscotch	Sek Sek	Hinkelen	Himmel und Hölle	Marelle	Campana	Amarelinha	Rayuela	Классики	けんけんぱ	땅따먹기
collection_5_card_6_theme_5	0	Fountain	Çeşme	Fontein	Springbrunnen	Fontaine	Fontana	Fonte	Fuente	Фонтан	噴水	분수
collection_5_card_7_theme_5	0	Bench	Bank	Bankje	Bank	Banc	Panchina	Banco	Banco	Скамейка	ベンチ	벤치
collection_5_card_8_theme_5	0	Topiary	Bitki Heykeli	Buxusfiguur	Buchsbaumfigur	Topiaire	Topiaria	Arte Topiária	Topiaria	Топиарий	トピアリー	토피어리
collection_5_card_9_theme_5	0	Archway	Kemerli Geçit	Booggang	Torbogen	Arcade	Arco	Arco	Arco	Арка	アーチ道	아치형 통로
collection_5_theme_6	0	Water Play	Su Oyunu	Waterplezier	Wasserspiel	Jeu d'eau	Gioco d'Acqua	Jogo Aquático	Juego de Agua	Водная игра	ウォータープレイ	수(水) 장난
collection_5_card_1_theme_6	0	Water Gun	Su Tabancası	Waterpistool	Wasserpistole	Pistolet à eau	Pistola ad Acqua	Pistola de Água	Pistola de Agua	Водный Пистолет	水鉄砲	물총
collection_5_card_2_theme_6	0	Beachball	Plaj Topu	Strandbal	Beachball	Ballon de plage	Pallone da spiaggia	Bola de Praia	Pelota de Playa	Пляжный мяч	ビーチボール	비치볼
collection_5_card_3_theme_6	0	Water Slide	Su Kaydırağı	Waterglijbaan	Wasserrutsche	Toboggan Aquatique	Scivolo d'Acqua	Toboágua	Tobogán Acuático	Водная Горка	ウォータースライダー	워터 슬라이드
collection_5_card_4_theme_6	0	Flamingo	Filamingo	Flamingo	Flamingo	Flamant Rose	Fenicottero	Flamingo	Flamenco	Фламинго	フラミンゴ	플라밍고
collection_5_card_5_theme_6	0	Paddle	Kürek	Peddel	Schläger	Palet	Racchetta	Remo	Remo	Ракетка	パドル	패들
collection_5_card_6_theme_6	0	Life Jacket	Can Yeleği	Reddingsvest	Rettungsweste	Gilet de Sauvetage	Giubbotto di salvataggio	Colete Salva-vidas	Chaleco Salvavidas	Спасательный жилет	救命胴衣	구명조끼
collection_5_card_7_theme_6	0	Wet Floor	Kaygan Zemin	Nat Vloer	Rutschiger Boden	Sol Glissant	Pavimento Bagnato	Piso Molhado	Piso Mojado	Скользкий Пол	滑りやすい床	미끄러운 바닥
collection_5_card_8_theme_6	0	Twirl Slide	Dönen Kaydırak	Draaiglijbaan	Wirbelrutsche	Toboggan Tournant	Scivolo a Spirale	Escorregador Giratório	Tobogán Giratorio	Спиральная Горка	回転すべり台	회전 미끄럼틀
collection_5_card_9_theme_6	0	Dolphin	Yunus	Dolfijn	Delfin	Dauphin	Delfino	Golfinho	Delfín	Дельфин	イルカ	돌고래
collection_5_theme_7	0	Playland	Oyun Alanı	Speelland	Spielland	Parc de Jeux	Parco Giochi	Parquinho	Zona de Juegos	Страна Игр	プレイランド	플레이랜드
collection_5_card_1_theme_7	0	Seesaw	Tahterevalli	Seesaw	Wippe	Balancelle	Altalena	Gangorra	Balancín	Качели	シーソー	시소
collection_5_card_2_theme_7	0	Climbing Wall	Tırmanış Duvarı	Klimmuur	Kletterwand	Mur d'escalade	Parete da Arrampicata	Parede de Escalada	Muro de Escalada	Скалодром	クライミングウォール	클라이밍 월
collection_5_card_3_theme_7	0	Trampoline	Trambolin	Trampoline	Trampolin	Trampoline	Trampolino	Trampolim	Trampolín	Батут	トランポリン	트램폴린
collection_5_card_4_theme_7	0	Puzzle Mat	Bulmaca Matı	Puzzelmat	Puzzlematte	Tapis de Puzzle	Tappetino Puzzle	Tapete de Enigmas	Alfombra de Rompecabezas	Пазл Мат	パズルマット	퍼즐 매트
collection_5_card_5_theme_7	0	Castle	Kale	Kasteel	Burg	Château	Castello	Castelo	Castillo	Замок	城	성
collection_5_card_6_theme_7	0	Ball Pit	Top Havuzu	Ballenbak	Bällebad	Parc à Balles	Piscina di Palline	Piscina de Bolinhas	Piscina de Pelotas	Шариковая яма	ボールピット	공 튀기기장
collection_5_card_7_theme_7	0	Swing	Salıncak	Schommel	Schaukel	Balançoire	Altalena	Balanço	Columpio	Качели	ブランコ	그네
collection_5_card_8_theme_7	0	Mini Slide	Mini Kaydırak	Mini Glijbaan	Mini-Rutsche	Mini Glisse	Mini Scivolo	Mini Deslizamento	Deslizador Mini	Мини Слайд	ミニスライド	미니 슬라이드
collection_5_card_9_theme_7	0	Spring Rider	Yaylı Zıpzıp	Wipkip	Federwippe	Animal à Ressort	Dondolo a Molla	Brinquedo de Mola	Balancín de Muelle	Качалка на пружине	スプリング遊具	스프링 놀이기구
collection_5_theme_8	0	Carnival	Karnaval	Kermis	Karneval	Carnaval	Carnevale	Carnaval	Carnaval	Карнавал	カーニバル	카니발
collection_5_card_1_theme_8	0	Swing Ride	Zincirli Salıncak	Zweefmolen	Kettenkarussell	Chaises Volantes	Giostra a Catene	Cadeiras Voadoras	Sillas Voladoras	Цепочная Карусель	回転ブランコ	회전그네
collection_5_card_2_theme_8	0	Bumper Car	Çarpışan Araba	Botsauto	Autoscooter	Auto-tamponneuse	Autoscontro	Carro de Bate-Bate	Carro Chocón	Бамперная машина	バンパーカー	범퍼카
collection_5_card_3_theme_8	0	Firework	Havai Fişek	Vuurwerk	Feuerwerk	Feu d'artifice	Fuochi d'artificio	Fogos de Artifício	Fuegos Artificiales	Фейерверк	花火	불꽃놀이
